epoch,step,train_backcast_loss_epoch,train_backcast_loss_step,train_forecast_loss_epoch,train_forecast_loss_step,train_loss_epoch,train_loss_step,val_MAE,val_MAPE,val_MASE,val_RMSE,val_SMAPE,val_backcast_loss,val_forecast_loss,val_loss
0,4,,0.5626427531242371,,1.3962875604629517,,1.3962875604629517,,,,,,,,
0,9,,0.5518746376037598,,1.348127007484436,,1.348127007484436,,,,,,,,
0,14,,0.5473341345787048,,1.3415415287017822,,1.3415415287017822,,,,,,,,
0,19,,0.5607796907424927,,1.3202975988388062,,1.3202975988388062,,,,,,,,
0,24,,0.5515957474708557,,1.306749701499939,,1.306749701499939,,,,,,,,
0,29,,0.5541825294494629,,1.3296141624450684,,1.3296141624450684,,,,,,,,
0,34,,0.5467644333839417,,1.3637841939926147,,1.3637841939926147,,,,,,,,
0,39,,0.5414943099021912,,1.3247157335281372,,1.3247157335281372,,,,,,,,
0,44,,0.5488545894622803,,1.3160560131072998,,1.3160560131072998,,,,,,,,
0,49,,0.5395971536636353,,1.323695421218872,,1.323695421218872,,,,,,,,
0,54,,0.5452408790588379,,1.3137346506118774,,1.3137346506118774,,,,,,,,
0,59,,0.5432605743408203,,1.373400092124939,,1.373400092124939,,,,,,,,
0,64,,0.5491604208946228,,1.3780622482299805,,1.3780622482299805,,,,,,,,
0,69,,0.559037983417511,,1.3547595739364624,,1.3547595739364624,,,,,,,,
0,74,,0.5465583801269531,,1.3145262002944946,,1.3145262002944946,,,,,,,,
0,79,,0.5396425127983093,,1.3283920288085938,,1.3283920288085938,,,,,,,,
0,84,,0.5401641130447388,,1.3544031381607056,,1.3544031381607056,,,,,,,,
0,89,,0.5506811738014221,,1.3598833084106445,,1.3598833084106445,,,,,,,,
0,94,,0.5567111372947693,,1.3305106163024902,,1.3305106163024902,,,,,,,,
0,99,,0.5452874898910522,,1.325913906097412,,1.325913906097412,,,,,,,,
0,104,,0.5366776585578918,,1.3213777542114258,,1.3213777542114258,,,,,,,,
0,109,,0.5470834374427795,,1.3661353588104248,,1.3661353588104248,,,,,,,,
0,114,,0.5463457107543945,,1.3266255855560303,,1.3266255855560303,,,,,,,,
0,119,,0.5480284094810486,,1.335484266281128,,1.335484266281128,,,,,,,,
0,124,,0.5470931529998779,,1.37489914894104,,1.37489914894104,,,,,,,,
0,129,,0.555756688117981,,1.3753583431243896,,1.3753583431243896,,,,,,,,
0,132,,,,,,,0.02169703133404255,4.255330562591553,0.9999539256095886,0.02649233303964138,1.3754955530166626,0.5611657500267029,1.3754955530166626,1.3754955530166626
0,132,0.5487861037254333,,1.347537636756897,,1.347537636756897,,,,,,,,,
1,134,,0.5535297393798828,,1.3283571004867554,,1.3283571004867554,,,,,,,,
1,139,,0.5354515910148621,,1.3812180757522583,,1.3812180757522583,,,,,,,,
1,144,,0.5429781079292297,,1.3370509147644043,,1.3370509147644043,,,,,,,,
1,149,,0.5383620262145996,,1.3533803224563599,,1.3533803224563599,,,,,,,,
1,154,,0.5455588102340698,,1.35378098487854,,1.35378098487854,,,,,,,,
1,159,,0.5432372093200684,,1.3432624340057373,,1.3432624340057373,,,,,,,,
1,164,,0.5435025691986084,,1.3259516954421997,,1.3259516954421997,,,,,,,,
1,169,,0.5500350594520569,,1.3112138509750366,,1.3112138509750366,,,,,,,,
1,174,,0.5388979911804199,,1.3412768840789795,,1.3412768840789795,,,,,,,,
1,179,,0.5500305891036987,,1.3870874643325806,,1.3870874643325806,,,,,,,,
1,184,,0.5515584945678711,,1.3554234504699707,,1.3554234504699707,,,,,,,,
1,189,,0.5613234043121338,,1.340235710144043,,1.340235710144043,,,,,,,,
1,194,,0.540060818195343,,1.3223172426223755,,1.3223172426223755,,,,,,,,
1,199,,0.546045184135437,,1.319222092628479,,1.319222092628479,,,,,,,,
